doc_id,url,label,text
K1700000123,https://adilet.zan.kz/rus/docs/K1700000123,kodeks,"Вернуться в мобильную версию Информационно-правовая система нормативных правовых актов Республики Казахстан Институт законодательства и правовой информации Республики Казахстан Министерство Юстиции Республики Казахстан Информация Статистика Размещение рекламы Выйти из режима для слабовидящих A A A ҚАЗ РУС ENG Главная Поиск Официальное опубликование Документы ООН Библиотека исследований ЧЗВ Научный обзор Исторические документы ВТО Избранное Кабинет Полная версия сайта Главная Назад к документу О таможенном регулировании в Республике Казахстан Обновленный Кодекс Республики Казахстан от 26 декабря 2017 года № 123-VI ЗРК. Текст Официальная публикация Информация История изменений Ссылки Ссылки из документа Ссылки на документ Скачать PDF DOCX Версия из ЭКБ Комментарии Прочее На двух языках Полноэкранный режим Печать Вложения: СОДЕРЖАНИЕ Примечание ИЗПИ! Для удобства пользования ИЗПИ создано Содержание СОДЕРЖАНИЕ Сноска. Оглавление исключено Законом РК от 28.12.2022 № 173-VII (вводится в действие по истечении шестидесяти календарных дней после дня его первого официального опубликования). Сноска. По всему тексту слово ""оралмана"" заменено соответственно словом ""кандаса"" в соответствии с Законом РК от 13.05.2020 № 327-VI (вводится в действие после дня введения в действие соответствующих изменений и дополнений в Кодекс РК ""О налогах и других обязательных платежах в бюджет"" (Налоговый кодекс)). Примечание ИЗПИ! по всему тексту слова ""электронного правительства"", ""информационной системы"", ""информационную систему"", ""информационных систем"", ""информационной системе"", ""информационно-коммуникационных технологий"", ""информационно-коммуникационные технологии"", ""информационные системы"", ""информационным системам"", ""информационными системами"", ""информационных системах"", ""информационной системой"" предусматриваются заменить соответственно словами ""цифрового правительства"", ""цифровой системы"", ""цифровую систему"", ""цифровых систем"", ""цифровой системе"", ""цифровых технологий"", ""цифровые технологии"", ""цифровые системы"", ""цифровым системам"", ""цифровыми системами"", ""цифровых системах"", ""цифровой системой"" в соответствии с Законом РК от 09.01.2026 № 256-VIII (вводится в действие по истечении шести месяцев после дня его первого официального опубликования). Настоящий Кодекс определяет правовые, экономические и организационные основы таможенного регулирования в Республике Казахстан и направлен на защиту суверенитета и экономической безопасности Республики Казахстан, активизацию связей казахстанской экономики в системе мировых экономических отношений и либерализацию внешнеэкономической деятельности. РАЗДЕЛ 1. ОБЩИЕ ПОЛОЖЕНИЯ Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ О ТАМОЖЕННОМ РЕГУЛИРОВАНИИ В РЕСПУБЛИКЕ КАЗАХСТАН Статья 1. Таможенное регулирование в Республике Казахстан 1. Таможенным регулированием в Республике Казахстан признается регулирование отношений на части таможенной территории Евразийского экономического союза (территории Республики Казахстан), на которой Республика Казахстан обладает исключительной юрисдикцией, включающее в себя установление порядка и условий перемещения товаров через таможенную границу Евразийского экономического союза, их нахождения и использования на таможенной территории Евразийского экономического союза или за ее пределами, порядка совершения таможенных операций, связанных с прибытием товаров на таможенную территорию Евразийского экономического союза, их убытием с таможенной территории Евразийского экономического союза, временным хранением товаров, их таможенным декларированием и выпуском, иных таможенных операций, порядка уплаты таможенных платежей, специальных, антидемпинговых, компенсационных пошлин и проведения таможенного контроля, а также регламентацию властных отношений между таможенными органами и лицами, реализующими права владения, пользования и (или) распоряжения товарами на таможенной территории Евразийского экономического союза или за ее пределами. 2. Таможенное регулирование в Республике Казахстан основывается на принципах равноправия лиц при перемещении товаров через таможенную границу Евразийского экономического союза, четкости, ясности и последовательности совершения таможенных операций, гласности в разработке и применении регулирующих таможенные правоотношения международных договоров и актов, составляющих право Евразийского экономического союза, и их гармонизации с нормами международного права, а также на применении современных методов таможенного контроля и максимальном использовании информационно-коммуникационных технологий в деятельности таможенных органов. 3. Таможенное регулирование в Республике Казахстан осуществляется в соответствии с регулирующими таможенные правоотношения международными договорами Евразийского экономического союза в рамках Евразийского экономического союза, включая Договор о Таможенном кодексе Евразийского экономического союза, международными договорами Евразийского экономического союза с третьей стороной и актами, составляющими право Евразийского экономического союза (далее – таможенное законодательство Евразийского экономического союза), а также в соответствии с Договором о Евразийском экономическом союзе от 29 мая 2014 года (далее – Договор о Союзе). 4. Таможенные правоотношения, не урегулированные таможенным законодательством Евразийского экономического союза, регулируются таможенным законодательством Республики Казахстан. 5. Сферой таможенного дела является область таможенного регулирования, направленная на обеспечение соблюдения международных договоров Республики Казахстан, таможенного законодательства Евразийского экономического союза и (или) Республики Казахстан, а также иного законодательства Республики Казахстан. Статья 2. Компетенция уполномоченных государственных органов 1. Уполномоченный орган в сфере таможенной политики в соответствии с таможенным законодательством Евразийского экономического союза и (или) законодательством Республики Казахстан: 1) осуществляет выработку предложений по формированию таможенной политики в Республике Казахстан; 2) разрабатывает и утверждает нормативные правовые акты, предусмотренные настоящим Кодексом, в пределах своей компетенции; 3) осуществляет иные полномочия, предусмотренные настоящим Кодексом, иными законами Республики Казахстан, актами Президента Республики Казахстан и Правительства Республики Казахстан. 2. Уполномоченный орган в сфере таможенного дела (далее – уполномоченный орган) в соответствии с таможенным законодательством Евразийского экономического союза и (или) законодательством Республики Казахстан: 1) разрабатывает и утверждает нормативные правовые акты, предусмотренные настоящим Кодексом, в пределах своей компетенции; 2) осуществляет руководство таможенными органами Республики Казахстан; 3) определяет полномочия ведомства, входящего в его состав; 3-1) разрабатывает и утверждает правила проведения экспертиз, не предусмотренных главой 54 настоящего Кодекса, для решения задач, возложенных на уполномоченный орган; 4) разрабатывает и утверждает правила создания, категорирования, классификации, а также нормы положенности и типовые требования к обустройству и материально-техническому оснащению таможен, таможенных постов и контрольно-пропускных пунктов в части, не урегулированной таможенным законодательством Евразийского экономического союза; 5) создает информационные системы, системы связи и системы передач данных, технических средств таможенного контроля, а также средств защиты информации; 6) принимает решения о включении лиц в реестры лиц, осуществляющих деятельность в сфере таможенного дела, а также в реестр уполномоченных экономических операторов; 7) осуществляет таможенное администрирование; 8) осуществляет таможенный контроль за перемещением через таможенную границу Евразийского экономического союза товаров и транспортных средств; 9) обеспечивает на постоянной основе своевременное информирование участников внешнеэкономической и иной деятельности в сфере таможенного дела, в том числе об изменениях и дополнениях в таможенное законодательство Евразийского экономического союза и (или) Республики Казахстан; 10) ведет таможенную статистику; 11) разрабатывает и утверждает инструкции по совершению отдельных таможенных операций; 12) разрабатывает и утверждает инструкции по применению отдельных форм таможенного контроля и мер, обеспечивающих проведение таможенного контроля; 13) участвует в разработке правовых актов в сфере контроля специфических товаров; 14) разрабатывает и утверждает порядок создания, деятельности, оснащения, в том числе транспортными средствами, мобильных групп в таможенных органах; 14-1) действовал до 31.12.2024 в соответствии со ст. 2 Закона РК от 19.04.2023 № 223-VII . 14-2) действовал до 31.12.2024 в соответствии со ст. 2 Закона РК от 19.04.2023 № 223-VII . 15) осуществляет иные полномочия, предусмотренные настоящим Кодексом, иными законами Республики Казахстан, актами Президента Республики Казахстан и Правительства Республики Казахстан. Сноска. Статья 2 с изменениями, внесенными законами РК от 05.01.2021 № 407-VI (вводится в дей"
K010000155_,https://adilet.zan.kz/rus/docs/K010000155_,kodeks,"Вернуться в мобильную версию Информационно-правовая система нормативных правовых актов Республики Казахстан Институт законодательства и правовой информации Республики Казахстан Министерство Юстиции Республики Казахстан Информация Статистика Размещение рекламы Выйти из режима для слабовидящих A A A ҚАЗ РУС ENG Главная Поиск Официальное опубликование Документы ООН Библиотека исследований ЧЗВ Научный обзор Исторические документы ВТО Избранное Кабинет Полная версия сайта Главная Назад к документу Об административных правонарушениях Утративший силу Кодекс Республики Казахстан от 30 января 2001 года № 155. Утратил силу Кодексом Республики Казахстан от 5 июля 2014 года № 235 (вводится в действие с 01.01.2015). Текст Официальная публикация Информация История изменений Ссылки Ссылки из документа Ссылки на документ Скачать PDF DOCX Версия из ЭКБ Комментарии Прочее На двух языках Полноэкранный режим Печать Вложения: ОГЛАВЛЕНИЕ Сноска. Утратил силу Кодексом РК от 05.07.2014 № 235 (вводится в действие с 01.01.2015). ОГЛАВЛЕНИЕ Сноска. По всему тексту слова ""военную службу"", ""военной службы"", ""военной службе"" заменены соответственно словами ""воинскую службу"", ""воинской"" службы"", ""воинской службе""; слова ""военный комиссариат"", ""военного комиссариата"" заменены соответственно словами ""местный орган военного управления"", ""местного органа военного управления"" в соответствии с Законом РК от 22.05.2007 № 255 (вводится в действие со дня его официального опубликования). Раздел 1. Общие положения Глава 1. Законодательство об административных правонарушениях Статья 1. Законодательство Республики Казахстан об административных правонарушениях 1. Законодательство Республики Казахстан об административных правонарушениях состоит из настоящего Кодекса Республики Казахстан об административных правонарушениях. Иные законы, предусматривающие административную ответственность, подлежат применению только после их включения в настоящий Кодекс. 2. Настоящий Кодекс основывается на Конституции Республики Казахстан, общепризнанных принципах и нормах международного права. 3. Международные договорные и иные обязательства Республики Казахстан, а также нормативные постановления Конституционного Совета и Верховного Суда Республики Казахстан, регулирующие административно-деликтные правоотношения, являются составной частью законодательства об административных правонарушениях. 4. Международные договоры, ратифицированные Республикой Казахстан, имеют приоритет перед настоящим Кодексом и применяются непосредственно, кроме случаев, когда из международного договора следует, что для его применения требуется издание закона. Если международным договором, ратифицированным Республикой Казахстан, установлены иные правила, чем те, которые предусмотрены законодательством Республики Казахстан об административных правонарушениях, то применяются правила международного договора. Статья 2. Основание административной ответственности Основанием административной ответственности является совершение деяния, содержащего все признаки состава правонарушения, предусмотренного в особенной части настоящего Кодекса. Статья 3. Полномочия местных представительных органов по установлению правил, за нарушение которых предусматривается административная ответственность 1. В целях обеспечения общественного порядка и безопасности при возникновении чрезвычайных ситуаций природного и техногенного характера местные представительные органы областей, города республиканского значения и столицы, городов и районов вправе в пределах своей компетенции устанавливать правила, за нарушение которых лица могут быть привлечены к административной ответственности, предусмотренной статьями 362 и 363 настоящего Кодекса. 2. Местные представительные органы областей, города республиканского значения и столицы также могут устанавливать правила, за нарушение которых административная ответственность предусматривается статьями 281-1, 300, 310, 311, 387 настоящего Кодекса. Сноска. Статья 3 с изменениями, внесенными законами РК от 10.07.2009 N 180-IV ; от 27.04.2012 № 15-V (вводится в действие по истечении десяти календарных дней после его первого официального опубликования). Статья 4. Действие законодательства Республики Казахстан об ответственности за административные правонарушения в пространстве 1. Лицо, совершившее административное правонарушение на территории Республики Казахстан, подлежит ответственности по настоящему Кодексу. 2. Административным правонарушением, совершенным на территории Республики Казахстан, признается деяние, которое начато или продолжилось, либо было окончено на территории Республики Казахстан. Действие настоящего Кодекса распространяется также на административные правонарушения, совершенные на континентальном шельфе и в исключительной экономической зоне Республики Казахстан. 3. Лицо, совершившее административное правонарушение на судне, приписанном к порту Республики Казахстан и находящемся в открытом водном или воздушном пространстве вне пределов Республики Казахстан, подлежит административной ответственности по настоящему Кодексу, если иное не предусмотрено международным договором Республики Казахстан. По настоящему Кодексу административную ответственность несет также лицо, совершившее административное правонарушение на военном корабле или военном воздушном судне Республики Казахстан независимо от места его нахождения. 4. Вопрос об административной ответственности дипломатических представителей иностранных государств и иных иностранцев, которые пользуются иммунитетом, в случае совершения этими лицами правонарушения на территории Республики Казахстан разрешается в соответствии с нормами международного права . Статья 5. Действие законодательства об ответственности за административные правонарушения во времени 1. Лицо, совершившее административное правонарушение, подлежит ответственности на основании законодательства, действовавшего во время совершения этого правонарушения. 2. Временем совершения административного правонарушения признается время осуществления деяния, предусмотренного особенной частью настоящего Кодекса, независимо от времени наступления последствий. Сноска. В статью 5 внесены изменения - Законом РК от 20 января 2006 года N 123 (вводится в действие с 1 января 2006 года). Статья 6. Обратная сила закона об административных правонарушениях 1. Закон, отменяющий или смягчающий ответственность за административное правонарушение, имеет обратную силу, то есть распространяется на правонарушение, совершенное до введения этого закона в действие. 2. Закон, устанавливающий или усиливающий ответственность за административное правонарушение или иным образом ухудшающий положение лица, совершившего правонарушение, обратной силы не имеет. Сноска. В статью 6 внесены изменения - Законом РК от 20 января 2006 года N 123 (вводится в действие с 1 января 2006 года). Глава 2. Задачи и принципы законодательства об административных правонарушениях Статья 7. Задачи законодательства об административных правонарушениях 1. Законодательство об административных правонарушениях имеет задачей охрану прав, свобод и законных интересов человека и гражданина, здоровья, санитарно-эпидемиологического благополучия населения, окружающей среды, общественной нравственности, собственности, общественного порядка и безопасности, установленного порядка осуществления государственной власти, охраняемых законом прав и интересов организаций от административных правонарушений, а также предупреждение их совершения. 2. Для осуществления этой задачи законодательство об административных правонарушениях устанавливает основания и принципы административной ответственности, определяет, какие деяния являются административными правонарушениями и виды взысканий, налагаемые за их совершение, а также какое административное взыскание, каким государственным органом (должностным лицом) и в каком порядке может быть наложено на лицо, совершившее административное правонарушение. Статья 8. Значение принципов законодательства об административных правонарушениях Значение принципов законодательства об административных правонарушениях состоит в том, что их нарушение в зависимости от его характера и существенности влечет признание состоявшегося производства по делу недействительным, отмену вынесенных в ходе такого производства решений либо признание собранных при этом материалов, не имеющих силы доказательств. Статья 9. Законность 1. Административные правонарушения и меры административно-правового воздействия, налагаемые за их совершение, определяются только настоящим Кодексом. Никто не может быть подвергнут административному взысканию, мерам административно-правового воздействия или мерам обеспечения производства по делу об административном правонарушении иначе, как на основаниях и в порядке, установленных настоящим Кодексом. 2. Суд, органы (должностные лица), уполномоченные рассматривать дела об административных правонарушениях, при производстве по делам об административных правонарушениях обязаны точно соблюдать требования Конституции Республики Казахстан, настоящего Кодекса,"
K2500000178,https://adilet.zan.kz/rus/docs/K2500000178,kodeks,"Вернуться в мобильную версию Информационно-правовая система нормативных правовых актов Республики Казахстан Институт законодательства и правовой информации Республики Казахстан Министерство Юстиции Республики Казахстан Информация Статистика Размещение рекламы Выйти из режима для слабовидящих A A A ҚАЗ РУС ENG Главная Поиск Официальное опубликование Документы ООН Библиотека исследований ЧЗВ Научный обзор Исторические документы ВТО Избранное Кабинет Полная версия сайта Главная Назад к документу Водный кодекс Республики Казахстан Обновленный Кодекс Республики Казахстан от 9 апреля 2025 года № 178-VIII ЗРК. Текст Официальная публикация Информация История изменений Ссылки Ссылки из документа Ссылки на документ Скачать PDF DOCX Версия из ЭКБ Комментарии Прочее На двух языках Полноэкранный режим Печать Вложения: СОДЕРЖАНИЕ Примечание ИЗПИ! Порядок введения в действие настоящего Кодекса см. в ст.134 . Вниманию пользователей! Для удобства пользования ИЗПИ создано СОДЕРЖАНИЕ РАЗДЕЛ 1. ОБЩИЕ ПОЛОЖЕНИЯ Глава 1. ОСНОВНЫЕ ПОЛОЖЕНИЯ Статья 1. Основные понятия, используемые в настоящем Кодексе В настоящем Кодексе используются следующие основные понятия: 1) акватория – водное пространство, ограниченное естественными, искусственными или условными границами; 2) питьевая вода – вода в ее естественном состоянии или после обработки, отвечающая по качеству установленным национальным стандартам и гигиеническим нормативам, предназначенная для удовлетворения питьевых и хозяйственно-бытовых нужд; 3) безальтернативные источники питьевого водоснабжения – единственные для водопотребителей источники питьевого водоснабжения, замена которых невозможна и нецелесообразна; 4) альтернативные источники воды – аккумулированные дождевые и талые воды, очищенные сточные и опресненные соленые воды, возможные к использованию в качестве водных ресурсов; 5) граница раздела балансовой принадлежности – линия раздела элементов систем водоснабжения и водоотведения между владельцами по признаку собственности, хозяйственного ведения или оперативного управления; 6) гидротехнические сооружения – сооружения для регулирования использования водных ресурсов (в том числе забора, хранения, транспортировки, распределения вод поверхностных водных объектов и отвода дренажных вод), а также иные сооружения, предназначенные для защиты от вредного воздействия вод (водоподпорные, водосбросные и водовыпускные сооружения, сооружения, предназначенные для защиты от наводнений и разрушений берегов); 7) дренаж – сбор и отведение вод с поверхности земли и (или) понижение уровня грунтовых вод; 8) дренажные воды – воды, собираемые и отводимые коллекторно-дренажными сетями; 9) подземные воды – водные ресурсы подземных водных объектов; 10) месторождение и участок подземных вод – пространственно ограниченная часть водоносной системы, в которой имеются благоприятные условия для забора подземных вод определенного качества в количестве, достаточном для их целевого использования; 11) гидромелиорация земель – совокупность мероприятий, обеспечивающих улучшение природных условий использования орошаемых земель путем регулирования водного режима почв; 12) регулирование поверхностного стока – распределение (перераспределение) речного стока при помощи подпорных гидротехнических сооружений в зависимости от водности года для удовлетворения потребности различных водопользователей в воде с учетом охраны водных объектов и предотвращения вредного воздействия вод; 13) санация поверхностных водных объектов – восстановление гидрологического режима поверхностного водного объекта путем очистки от донных и иловых отложений, дноуглубительных, русловыпрямительных, берегоукрепительных и других работ; 14) ирригация – подача воды для орошения сельскохозяйственных земель; 15) многофакторное обследование – оценка технического состояния гидротехнических сооружений и основного оборудования, определение остаточного ресурса их элементов методом визуального осмотра и проведением комплекса инженерных исследований (геодезических, геофизических, геотехнических, гидрографических и других); 16) трубчатый фильтровый колодец – сооружение в виде пробуренной в землю трубы с рядом отверстий, расположенное в первом от поверхности водоносном горизонте; 17) каналы, приравненные к рекам, – искусственные сооружения, предназначенные для переброски воды из одного бассейна в другой, из одной речной системы в другую, межгосударственные каналы; 18) граница раздела эксплуатационной ответственности – линия раздела элементов систем водоснабжения и водоотведения по признаку обязанностей (ответственности за их эксплуатацию), устанавливаемая соглашением сторон. При отсутствии такого соглашения граница эксплуатационной ответственности устанавливается по границе раздела балансовой принадлежности; 19) сточные воды – воды, образующиеся в результате хозяйственной деятельности человека или на загрязненной территории: воды, использованные на производственные или бытовые нужды и получившие при этом дополнительные примеси загрязняющих веществ, изменившие их первоначальный состав или физические свойства; дождевые, талые, инфильтрационные, поливомоечные, дренажные воды, стекающие с территорий населенных пунктов и промышленных предприятий; подземные воды, попутно забранные при проведении операций по недропользованию (карьерные, шахтные, рудничные воды, пластовые воды, забранные попутно с углеводородами); 20) накопители сточных вод – сооружения, предназначенные для накопления сточных вод (пруды-накопители, поля фильтрации и пруды-испарители), являющиеся частью комплексов централизованных систем водоотведения; 21) мониторинг и оценка мелиоративного состояния орошаемых земель – система наблюдений и анализа гидрогеологических, гидрологических и почвенных показателей для выявления негативных изменений и принятия мер по их предотвращению, а также выработки рекомендаций по улучшению мелиоративного состояния орошаемых земель; 22) точка выдела – место передачи водных ресурсов от водопользователя к водопотребителю; 23) водоотведение – совокупность мероприятий, обеспечивающих сбор, транспортировку, очистку и сброс сточных вод через системы водоотведения в водные объекты, накопители сточных вод или на рельеф местности; 24) объекты, отрицательно влияющие на состояние вод, – здания, строения, сооружения и устройства, эксплуатация которых может повлечь загрязнение и (или) засорение, и (или) истощение, и (или) вредное воздействие вод; 25) технологические расходы воды – объемы воды, затрачиваемые на обслуживание сооружений и сетей систем водоснабжения и водоотведения населенных пунктов; 26) организационно-учетные расходы воды – объем воды, не зарегистрированный приборами учета воды вследствие их недостаточной чувствительности, наличия погрешности измерений, а также при неодновременном снятии показаний приборов учета воды у водопотребителей; 27) водоохранная зона – территория, примыкающая к водным объектам, на которой устанавливается специальный режим хозяйственной деятельности для предотвращения загрязнения, засорения и истощения вод; 28) водоохранная полоса – часть водоохранной зоны, примыкающая к водным объектам, в которой устанавливается режим ограниченной хозяйственной деятельности в дополнение к специальному режиму хозяйственной деятельности в водоохранных зонах; 29) уполномоченный орган в области охраны и использования водного фонда (далее – уполномоченный орган) – центральный исполнительный орган, осуществляющий руководство и межотраслевую координацию в области охраны и использования водного фонда; 30) водоснабжение – совокупность мероприятий, обеспечивающих забор, хранение, подготовку, подачу и распределение водных ресурсов; 31) водообеспечение – совокупность мероприятий, направленных на удовлетворение потребностей населения, окружающей среды и отраслей экономики в водных ресурсах; 32) охрана водных объектов – система мер, направленных на сохранение и восстановление водных объектов; 33) использование водных объектов – пользование водными объектами в качестве компонента природной среды; 34) водный объект – постоянное или временное сосредоточение вод в естественных или искусственных рельефах суши либо в недрах, имеющее границы, естественный или регулируемый водный режим, за исключением накопителей сточных вод; 35) водопользователь – физическое или юридическое лицо, которое в порядке, установленном законодательством Республики Казахстан, обладает правом водопользования и реализует его; 36) водный режим – естественное или искусственное изменение во времени уровней, расходов и объемов поверхностных и подземных вод; 37) водные ресурсы – вода, содержащаяся в поверхностных и подземных водных объектах, в том числе доступная для использования с учетом охраны от загрязнения, засорения и истощения; 38) водозаборное сооружение – комплекс сооружений и устройств для забора воды из водных объектов; 39) удельная норма водопотребления и водоотведения – установленное количество потребляемой или отводимой сточной воды на единицу производимой продукции (на определенный объем выполняемой работы или оказываемо"
